filename,texts,ground_truths,dacy_large
BREV_B1844-1871ht_B18710513JB,"Jeg håber De ikke tager mig det altfor ilde op at jeg så længe har nølet med at sende Dem de hos herr tom Dieck indkasserede penge; men jeg har i den grad været optaget af literære anliggender, at jeg har måttet sætte næsten alt andet til side.Summen var, som De ved, 16 thaler 20 sgr; jeg sender Dem herved 17 thaler i assureret brev, og fører Dem det overskydende samt omkostninger i regning. Min egen gæld skal senere hen blive berigtiget; for øjeblikket har jeg ikke disponible penge her; hvad jeg har opsparet, står fast i bankindretninger i København og Kristiania; men i årets løb skal den sag blive bragt i orden.Bogpakken har jeg nu endelig modtaget; den faldt mig desværre temmelig dyr; men det måtte jeg jo vente, og jeg takker Dem forbindtligst for Deres ulejlighed i denne henseende.Ligeledes takker jeg venligst for Deres lykønskning i anledning af min udnævnelse til ridder af Dannebrog, en udnævnelse, som jeg sætter megen pris på. Dette var forresten ikke den første udmærkelse af det slags, der er blevet mig tildel; allerede i forrige år erholdt jeg Wasa-ordenens ridderkors, og nu for nogle dage siden modtog jeg gennem vor udenrigsminister den tyrkiske Medjidieh-ordens kommandør-stjerne med diplom fra sultanen, – naturligvis i anledning af min rejse i Egypten. Herr Lieblein blev ridder af samme orden, og kaptein Knorring, der jo også var i Rom, kommandør, ligesom jeg.Hvorledes går det min ven, Dr: Brandes? Tør jeg bede Dem hilse ham fra mig; jeg tilskriver ham om kort tid og håber han ikke er altfor vred, fordi jeg har forsømt det så længe. Mine gamle romerske venner, Ravnkilde, Budal, Börjesson o. s. v, må De ligeledes hilse, og sige dem at jeg ofte tænker på samlivet med de kære mennesker dernede.Med et hjerteligt levvel, og navnlig med ønsket om en behagelig og forfriskende villegiatura efter vinterens anstrængelser, tegner jeg mig","[('PER', 'tom Dieck'), ('LOC', 'København'), ('LOC', 'Kristiania'), ('MISC', 'Dannebrog'), ('MISC', 'Wasa-ordenens'), ('MISC', 'tyrkiske'), ('MISC', 'Medjidieh-ordens'), ('LOC', 'Egypten'), ('PER', 'Lieblein'), ('PER', 'Knorring'), ('LOC', 'Rom'), ('PER', 'Brandes'), ('MISC', 'romerske'), ('PER', 'Ravnkilde'), ('PER', 'Budal'), ('PER', 'Börjesson')]","[('PER', 'tom Dieck'), ('MISC', 'thaler'), ('LOC', 'København'), ('LOC', 'Kristiania'), ('MISC', 'Dannebrog'), ('ORG', 'Wasa-ordenens ridderkors'), ('MISC', 'tyrkiske'), ('MISC', 'Medjidieh-ordens'), ('LOC', 'Egypten'), ('PER', 'Herr Lieblein'), ('PER', 'Knorring'), ('LOC', 'Rom'), ('PER', 'Dr: Brandes'), ('MISC', 'romerske'), ('LOC', 'Ravnkilde'), ('LOC', 'Budal'), ('PER', 'Börjesson')]"
BREV_B1844-1871ht_Budat18680831JB,"En mangfoldige Gange tilbagevendende glad, frisk og fornøjet 3die September ønskes Dem af Deres ærbødigst hengivne",[],[]
BREV_B1844-1871ht_Budat18700720AK,"En gammel amico romano ankom i morges. Du ventes her indtil Kl: 7. Vedkommende er elendig træt efter Rejsen, men højst begjærlig efter at se Dig.","[('MISC', 'amico romano')]","[('MISC', 'romano')]"
BREV_B1871-1879ht_B18720402EGo,"For nogle dage siden havde jeg den store glæde at modtage Deres for mig så særdeles smigrende brev, ledsaget af Deres velvillige recension i «The Spectator».Mit kendskab til det engelske sprog er desværre ikke så grundig at jeg drister mig til skriftlig at benytte samme, og når jeg herved frembærer min hjerteligste og forbindtligste tak for den velvilje, hvormed De omfatter min literære virksomhed, håber jeg De tilgiver at jeg betjener mig af mit modersmål.På en bedre og mere anbefalende måde, end sket er i Deres fortræffelige anmeldelse, kunde jeg aldrig ønske at blive introduceret for en fremmed nation; og heller ikke gives der noget folk, i hvis læseverden det vilde være mig en større ære at blive indført, end netop det engelske. Kan dette ved Deres gode og kyndige bistand ske, vil jeg føle mig Dem ubegrænset forbunden for alle tider.Af Deres meget ærede brev er det mig imidlertid ikke ganske klart, hvorvidt det er Deres hensigt selv at oversætte mine skrifter, eller om De vil indskrænke Dem til gennem anmeldelser at henlede Englands opmærksomhed på samme. Hvis det førstnævnte er tilfældet, vil det naturligvis være mig en ære og en glæde at stille mine bøger til Deres rådighed, forvisset om at i bedre og kyndigere hænder kan jeg aldrig nedlægge dem. Om denne sag vilde det være mig særdeles kært at erfare Deres mening.Jeg beklager højlig at omstændighederne ikke tillader mig at besøge Skandinavien i sommer og at jeg således desværre går glip af den behagelige og for mig så højst ønskede anledning til personlig at fremføre min varme taksigelse for det betydningsfulde skridt, De allerede har foretaget til virkeliggørelse af en af mine kæreste literære drømme. Det engelske folk står os Skandinaver i ånd, tænkemåde og følelsesliv så nær; og just derfor har det været mig smerteligt at tænke på at sproget skulde stille en skranke mellem min digtning og hele denne store beslægtede verden. De vil derfor kunne forestille Dem, hvilken glæde De forvoldte mig, da De stillede mig i udsigt at få denne skranke nedbrudt.Her i Tyskland forberedes flere udgaver af mine arbejder. Af «Brand» er udkommet en oversættelse i Cassel; men denne tilfredsstiller mig ikke. En anden oversættelse af samme digtning bebudes fra Berlin. I Berlin er ligeledes udkommet på tysk «Kongsemnerne» og «De unges forbund», begge fortræffeligt gengivne af Dr. Adolf Strodtmann, Byrons og Tennysons fortrinlige oversætter. For øjeblikket er Dr: Strodtmann beskæftiget med at oversætte mine mindre digte.At indføres i den engelske læseverden er imidlertid for mig hovedsagen, og jo hurtigere dette kunde ske, desto kærere vilde det være mig. Skulde De ville hædre og glæde mig med et brev i denne anledning, så er min direkte adresse indtil videre, og i al fald indtil udgangen af Juni måned: Dippoldiswaldaer-Strasse, No 7, Dresden. Skulde De på Deres forestående rejse til sommeren komme til at berøre dette sted, vilde det være mig overordentlig kært mundtligt at kunne udtale mig for Dem.Under alle omstændigheder beder jeg Dem gentagende at modtage forsikringen om min oprigtige påskønnelse af det varme og velvillige sind, hvormed De omfatter såvel mig som mit lands literatur overhovedet. Og hermed tillader jeg mig for denne gang på det bedste at anbefale mig idet jeg med udmærket højagtelse tegner mig","[('MISC', 'The Spectator'), ('MISC', 'engelske'), ('MISC', 'engelske'), ('LOC', 'Englands'), ('LOC', 'Skandinavien'), ('MISC', 'engelske'), ('MISC', 'Skandinaver'), ('LOC', 'Tyskland'), ('MISC', 'Brand'), ('LOC', 'Cassel'), ('LOC', 'Berlin'), ('LOC', 'Berlin'), ('MISC', 'tysk'), ('MISC', 'Kongsemnerne'), ('MISC', 'De unges forbund'), ('PER', 'Adolf Strodtmann'), ('PER', 'Byrons'), ('PER', 'Tennysons'), ('PER', 'Strodtmann'), ('MISC', 'engelske'), ('LOC', 'Dippoldiswaldaer-Strasse'), ('LOC', 'Dresden')]","[('MISC', 'The Spectator».Mit'), ('MISC', 'engelske'), ('MISC', 'engelske'), ('LOC', 'Englands'), ('LOC', 'Skandinavien'), ('MISC', 'engelske'), ('MISC', 'Skandinaver'), ('LOC', 'Tyskland'), ('MISC', 'Brand'), ('LOC', 'Cassel'), ('LOC', 'Berlin'), ('LOC', 'Berlin'), ('MISC', 'tysk'), ('MISC', 'Kongsemnerne'), ('MISC', 'De unges forbund'), ('PER', 'Dr. Adolf'), ('PER', 'Byrons'), ('PER', 'Tennysons'), ('PER', 'Dr: Strodtmann'), ('MISC', 'engelske'), ('MISC', 'Juni måned'), ('LOC', 'Dippoldiswaldaer-Strasse, No 7, Dresden')]"
BREV_B1871-1879ht_B18720411LL,"Idet jeg forbindtligst takker Dem for Deres venlige skrivelse beder jeg Dem undskylde at tvingende grunde indtil idag har forhindret mig fra at besvare samme.At jeg med stor interesse imødeser et foretagende, som det af Dem bebudede, behøver jeg ikke at forsikre Dem om. Men jeg føler mig fuldstændig uskikket til at virke som journalistisk medarbejder; jeg har tidligere tiders erfaring for at jeg ikke duer til at benyttes i denne literatur-gren, der jo, ligesom enhver anden, kræver en særlig anlagthed, hvilken jeg helt og holdent mangler. Hvad jeg tænker og ser i billeder, arter sig på en anden måde; det samler sig altsammen som enkeltheder om et større helt, og jeg behøver derfor en omfangsrigere form eller ramme for at få udtalt mig tilbunds. Jeg vilde derfor gøre både Dem og mig selv en dårlig tjeneste ifald jeg ved denne anledning efterkom Deres anmodning om bidrag til det nye blad.Af digte eller andet deslige har jeg intet liggende og et nyt vidtløftigt dramatisk arbejde optager al min tid og lægger beslag på alle mine ideer. At De i dette arbejde, når det udkommer, vil finde mig som en trofast bundsforvandt i flere punkter, er ikke umuligt; og kært skulde det være mig om så var. Men udenfor mit område tør jeg ikke gå; det vilde kun lede til skuffelse på alle kanter.I håb om at De venligt erkender det begrundede i, hvad jeg her uforbeholdent har udtalt, tegner jeg mig",[],[]
BREV_B1871-1879ht_B18730206FH,"Herved har jeg den store glæde at kunne melde Dem at mit store arbejde er færdigt, og lykkeligere tilendebragt end noget af mine tidligere.Bogen fører titel: «Kejser og Galilæer, et verdens-drama i to dele.» Den indeholder: 1ste del: «Cæsars frafald», skuespil i fem akter (170 sider.) 2den del: «Kejser Julian», skuespil i fem akter (252 sider.) Lad ikke benævnelsen «verdensdrama» forskrække Dem! Den er dannet i lighed med «folkedrama, familjedrama, nationaldrama, o. s. v, og er på sin plads; thi mit stykke handler både om himmel og jord.Ved den vækst, tanken og ideen har taget under udarbejdelsen, blir det nødvendigt endnu en gang at renskrive det første stykke; det bliver dog derved ikke længere; tvertimod håber jeg at kunne forkorte det med omtrent 20 sider, så det hele udgør 400. (Hver af mine sider indeholder omtrent en trykt.)Renskriften begynder om 8 dage, og skal jeg da hver 8de dag sende Dem en portion på 48 sider; dette udgør kun 7 sider pr: dag, og det må jeg kunne overkomme. Det sidste stykke kunde gerne gå i trykkeriet som det er; men dersom De ikke ønsker at påskynde udgivelsen, så vil jeg for sikkerheds skyld også afskrive dette.Dette stykke har været mig et Herkules-arbejde, – ikke ved udarbejdelsen; thi den er gåt let; men ved den møje, det har kostet at leve mig friskt og anskueligt ind i en så fjern og fremmed tid. Det er mig meget kært af Deres næstsidste brev at få en god afsætning stillet i udsigt; thi flere år af mit liv er ofret på denne bog. Jeg tør forudsige, at vi begge vil få glæde af den.Bestem nu selv tiden for udgivelsen. At jeg ikke straks begynder på renskriften, hidrører fra at jeg har måttet forespørge hos en lærd ven i Kristiania om den rette skrivemåde af nogle græske navne, der i mine latinske kildeskrifter er blevne forvanskede, – en omstændighed, hvorpå jeg først for et par dage siden blev opmærksom. –For de i Deres brev af 26de November forrige år tilsendte 150 Thaler takker jeg forbindtligst. Ligeså for den til jul modtagne særdeles værdifulde bogpakke!En i sandhed stor og uventet glæde beredte De mig ved i Deres sidste venlige brev at tilmelde mig behovet af nye udgaver af «Brand» og «Kærlighedens komedie». Den første bør udgå uforandret; i den sidste retter jeg ortografien og nogle enkeltheder; jeg anvender mine aftener dertil. «Fru Inger til Østråt» vil jeg til sommeren rent omskrive, og skal den da blive en af mine bedste bøger. Hvis De kunde skaffe mig et exemplar, vilde jeg takke Dem meget. «Hærmændene» tiltrænger ikke mange rettelser. Jeg tror at disse to bøger med fordel vil kunne slippes ud i kølvandet af det store nye opus. –Nu sluttelig en bøn til Dem. Jeg har hos Dem og i sparekassen indestående ca 49 Rdlr. Vil De, som forskud, supplere denne sum, så det hele udgør 150 Thaler preusisk og sende mig samme? Jeg er nemlig, ved Kristiania theaters nøleri med opførelsen af «Kærlighedens komedie» kommen i forlegenhed og trænger til penge. Tag mig ikke denne nødtvungne anmodning ilde op! Hils venligst Deres søn og modtag selv de oprigtigste hilsener fra","[('MISC', 'Kejser og Galilæer et verdens-drama i to dele'), ('MISC', 'Cæsars frafald'), ('MISC', 'Kejser Julian'), ('LOC', 'Kristiania'), ('MISC', 'græske'), ('MISC', 'latinske'), ('MISC', 'Brand'), ('MISC', 'Kærlighedens komedie'), ('MISC', 'Fru Inger til Østråt'), ('MISC', 'Hærmændene'), ('MISC', 'preusisk'), ('ORG', 'Kristiania theaters'), ('MISC', 'Kærlighedens komedie')]","[('MISC', 'Kejser og Galilæer'), ('MISC', 'Cæsars frafald'), ('MISC', 'Kejser Julian'), ('MISC', 'Herkules-arbejde'), ('LOC', 'Kristiania'), ('MISC', 'græske'), ('MISC', 'latinske'), ('MISC', 'Thaler'), ('MISC', 'Brand'), ('MISC', 'Kærlighedens komedie'), ('MISC', 'Fru Inger'), ('LOC', 'Østråt'), ('MISC', 'preusisk'), ('LOC', 'Kristiania theaters'), ('MISC', 'Kærlighedens komedie')]"
BREV_B1871-1879ht_B18730928PNA,"Tag ikke ilde op at jeg herved falder Dem besværlig med en kommission. Sagen er denne: Man har fra Wien sendt mig et fotografi, hvorfor jeg ifølge regning har til herr Carl B: Waltz, kasserer ved «Genossenschaft der bildenden Künstler Wiens», Künstlerhaus, Lothringerstrasse, No 9 at indbetale 21 frcs. Tør jeg bede Dem godhedsfuldt at ville besørge dette for mig? Franske sedler kan jeg ikke få fat på her; men efter min beregning må indlagte 6 Thaler slå rundeligt til. Jeg har nølet noget længe med at ordne denne affære og vilde derfor være Dem overordentlig forbunden, dersom De en af dagene, trods Deres mange andre gøremål, kunde finde en anledning til at bringe sagen i rigtighed. Bliv endelig ikke vred over at jeg besværer Dem med dette; men jeg ved ingen anden at henvende mig til.Og hvorledes går det så fortiden nede i Wien? Jeg har ikke megen anledning til gennem aviserne at følge med udstillingen, men hører dog at den skal være godt besøgt. Er det sandt at den skal holdes åben til slutningen af Oktober? Kunde De med en eller anden hjemrejsende skandinav sende mig et exemplar af den norske katalog, så gjorde De mig en særdeles stor tjeneste. Men endnu kærere vilde det være mig om jeg turde håbe at De selv engang ihøst eller til vinteren, når De er færdig dernede, vilde lægge vejen over Dresden.Under alle omstændigheder ønsker jeg Dem et så behageligt ophold, som muligt, i Wien. Deherrer Engerth, Friedländer, Obermüllner og andre gode mænd bedes venligst hilsede, hvis lejlighed gives. Herr Dannfeldt først og fremst en hilsen! Jeg håber at han i sin tid modtog mit brev og De det deri indlagte visitkort?Og hermed for dennegang et hjerteligt levvel fra","[('LOC', 'Wien'), ('PER', 'Carl B: Waltz'), ('LOC', 'Wiens'), ('LOC', 'Lothringerstrasse'), ('MISC', 'Franske'), ('LOC', 'Wien'), ('MISC', 'skandinav'), ('MISC', 'norske'), ('LOC', 'Dresden'), ('LOC', 'Wien'), ('PER', 'Engerth'), ('PER', 'Friedländer'), ('PER', 'Obermüllner'), ('PER', 'Dannfeldt')]","[('LOC', 'Wien'), ('PER', 'Carl B: Waltz'), ('ORG', 'Genossenschaft der bildenden Künstler Wiens'), ('LOC', 'Künstlerhaus'), ('LOC', 'Lothringerstrasse'), ('MISC', 'Franske'), ('LOC', 'Wien'), ('MISC', 'skandinav'), ('MISC', 'norske'), ('LOC', 'Dresden'), ('LOC', 'Wien'), ('PER', 'Engerth'), ('PER', 'Friedländer'), ('PER', 'Obermüllner'), ('PER', 'Herr \n'), ('PER', 'Dannfeldt')]"
BREV_B1871-1879ht_B18731004JHT,"Hver dag har jeg foresat mig at besvare Deres venskabelige brev af 6te f. m:, men altid er der kommet noget imellem; nu tør jeg dog ikke opsætte det længere.For advarselen angående herr Bjørnson er jeg Dem meget taknemmelig. Til dato har han dog ikke vist sig her, og jeg anser det heller ikke rimeligt at han skulde føle sig opfordret til at aflægge mig et besøg. At han på forhånd har søgt at skade mit nye arbejde er ganske i samklang med hans øvrige færd. Efter hvad min forlægger skriver, lader det dog ikke til at hans hensigt vil lykkes, thi der er indløben så overvættes store bestillinger på bogen at dens udgivelsestid derved er bleven forsinket, idet der nemlig udfordres et langt større antal indbundne exemplarer end påregnet. Det er nu fastsat at bogen, der udgør et meget tykt bind på 512 sider, skal samtidigt udkomme i alle tre skandinaviske lande fredagen den 17de Oktober. Kunde De angående tidspunktet gennem en tredjemand få ind en liden notits i Morgenbladet, vilde jeg være Dem meget forbunden; thi jeg frygter at mange deroppe på grund af forsinkelsen kan tro at der fra min side er noget ivejen. Med den første forsending til Kristiania har jeg pålagt min forlægger at lade medfølge et exemplar til Dem, hvilket jeg herved på forhånd beder Dem venligst modtage.Jeg takker Dem for Deres lykønskning i anledning af St: Olafs-ordenen, hvilken jeg nu har modtagen. Den var mig for så vidt kærkommen, som udnævnelsen dog vidnede om et visst slags mod fra en side, hvorfra man ikke i den senere tid er vant til at se prøver på den slags egenskaber. –Fejltagelsen med Susannas lagener håber jeg er tilfredsstillende opklaret. Hun havde aldeles misforstået et brev fra Marie og troede at talen var om nogle lagener, som hun brugte under opholdet i København, og som siden har været opbevaret i en kiste hos professor Daa, hvilken kiste hun nu ønskede herned. Skulde De have vanskelighed ved at blive af med de sachsiske sedler, beder jeg Dem at sende disse tilbage og afholde beløbet i min gage, hvoraf jeg i så fald tillader mig at bede mig resten tilstillet på sædvanlig måde – hvis sådant, ved fremkomsten af disse linjer, ikke allerede er sket.Opholdet i Wien isommer var særdeles interessant; nærmere herom håber jeg at Thomas har fortalt. – Da han på hjemrejsen passerede Dresden medtog han et exemplar af Schillers verker, som han lovede at sende Marie; dette skal imidlertid ikke være sket og Marie skriver at hun for sine sprogstudiers skyld nødvendigvis behøver bøgerne, hvorfor jeg herved anmoder Dem om at bringe ham denne sag i erindring.Løkke har jeg for nogen tid siden tilskrevet; jeg håber at mit brev er kommet ham ihænde. I al fald bedes han og alle andre gode venner hilset.Særdeles kært skulde det være os, om De vilde sende os Deres fotografi, selv om det ikke skulde være i alle henseender tilfredsstillende. Men endnu kærere vilde det rigtignok være os om De tog en kraftig beslutning og overbragte det selv. Man kan nu rejse meget billigt; jeg kan opgive Dem en rute, på hvilken tour og retour (1ste plads dampskib og 2den plads jernbane) mellem Kristiania og Dresden koster 22 spd. Hernede er det endnu fuldstændig sommerligt; koleraen er for længe siden ophørt og theatrene med meget andet i fuld virksomhed.Og hermed en hjertelig hilsen fra os alle gennem","[('PER', 'Bjørnson'), ('MISC', 'skandinaviske'), ('MISC', 'Morgenbladet'), ('LOC', 'Kristiania'), ('MISC', 'Olafs-ordenen'), ('PER', 'Susannas'), ('PER', 'Marie'), ('LOC', 'København'), ('PER', 'Daa'), ('MISC', 'sachsiske'), ('LOC', 'Wien'), ('PER', 'Thomas'), ('LOC', 'Dresden'), ('PER', 'Schillers'), ('PER', 'Marie'), ('PER', 'Marie'), ('PER', 'Løkke'), ('LOC', 'Kristiania'), ('LOC', 'Dresden')]","[('PER', 'Bjørnson'), ('MISC', 'skandinaviske'), ('ORG', 'Morgenbladet'), ('LOC', 'Kristiania'), ('MISC', 'St: Olafs-ordenen'), ('PER', 'Susannas'), ('PER', 'Marie'), ('LOC', 'København'), ('PER', 'Daa'), ('MISC', 'sachsiske'), ('LOC', 'Wien'), ('PER', 'Thomas'), ('LOC', 'Dresden'), ('PER', 'Schillers'), ('PER', 'Marie'), ('PER', 'Marie'), ('PER', 'Løkke'), ('LOC', 'Kristiania'), ('LOC', 'Dresden')]"
BREV_B1871-1879ht_B18731203FH,"Hjertelig tak for Deres sidste venlige brev, og tør jeg med det samme anmode Dem om ved første givne anledning at bevidne fru Hejberg min forbindtligste erkendtlighed, for hendes skrivelse, som jeg for nogle dage siden ved Deres godhed havde den glæde at modtage.Ikke mindre takker jeg Dem for de forskellige tilsendte aviser og tidsskrifter. Den W:-Hornske anmeldelse tager jeg ingen notits af. Inden kort tid vil deslige indvendinger forstumme. «Kongsemnerne» havde, da det udkom, meget mere at gennemgå.Tør jeg bede Dem bevise mig den store tjeneste at sende mig 75 thaler preussisk? Og går det an i denne travle tid at anmode Dem om for min regning og for min hustru at lade tage 5 lodder i «det danske industrilotteri», hvis trækning foregår den 12te December, og hvori hvert lod skal koste omtrent 1 rdlr? Tag ikke denne anmodning ilde op!Med venlige hilsener til Dem og Deres søn","[('PER', 'Hejberg'), ('MISC', 'Kongsemnerne'), ('MISC', 'preussisk'), ('ORG', 'det danske industrilotteri')]","[('PER', 'Hejberg'), ('MISC', 'W:-Hornske'), ('MISC', 'preussisk'), ('MISC', 'danske')]"
BREV_B1871-1879ht_B18740723RSch,"Idet jeg takker Dem for Deres venlige brev beder jeg Dem være forvisset om at jeg har læst samme med hjertelig deltagelse både i Deres sorg og i Deres lykke.Jeg tror ikke at den korte tid, vi her har at råde over, vil tillade os at besøge Deres hjem i Nitedalen. Skulde De vilde se ind til os her i vor midlertidige bolig, hos frøken Hofgård, Pilestrædet no 7, da vil De blive modtagen som en kær gæst af min hustru og af","[('LOC', 'Nitedalen'), ('PER', 'Hofgård'), ('LOC', 'Pilestrædet no 7')]","[('LOC', 'Nitedalen'), ('PER', 'Hofgård'), ('LOC', 'Pilestrædet no 7, da vil De blive modtagen som en kær gæst')]"
BREV_B1871-1879ht_B18740921ThK,"Idet jeg på min hustrus og egne vegne frembærer en hjertelig tak for Deres og Deres ærede frues visit og indbydelse, tillader jeg mig herved skriftligt at gentage, hvad jeg igår i al skynding måtte indskrænke mig til at meddele mundtligt, nemlig at det vil være os en stor glæde at indfinde os imorgen, Tirsdag, kl: 4.",[],[]
BREV_B1871-1879ht_B18741023PB,"Blandt de mange, med hvilke jeg, på grund af min omflakken isommer, er kommen i agterhånden, hvad brevskrivning angår, har ingen i de sidste uger ligget mig så tidt på sinde, som Du.Men lige til igår, da jeg modtog dit venskabelige brev, har jeg siden min tilbagekomst hertil været beskæftiget med en gennemarbejdelse af «Fru Inger til Østråt», der skal udkomme i næste måned, og hvorfor jeg har skudt alt andet tilside.Hvis Du ikke, når Du modtager disse linjer, allerede på anden hånd har fået at vide, hvad min egentlige hensigt var med de gennem den Gyldendalske boghandel fremsendte penge, så lad mig nu sige det.Tidligt isommer blev mig af en herværende inkassator præsenteret en veksel trukken på mig af Chr: Busch og lydende på noget over 50 Spdlr: og sammen med denne veksel modtog jeg fra herr Busch, et brev hvori han i et par linjer skriver at han forventer jeg «ikke længere vil udsætte med at indfri denne æresgæld». Gælden opgaves at være opstået, dels for indfrielse af hin gamle vekselobligation, og dels for renter af herr Buschs udlæg indtil dato. Opirret ved herr Buschs grove brev, svarede jeg inkassatorens bud at jeg i øjeblikket ikke vidste, hvor meget jeg var herr B: skyldig, at han aldrig havde krævet mig, og at jeg som følge heraf efter vor lovgivning ikke var forpligtet til at betale renter af beløbet; forøvrigt, tilføjede jeg, stod jeg netop i begreb med at afrejse til Norge, hvor det var min agt også at gæste Bergen, og skulde jeg da personlig ordne sagen.Jeg rejste; men besøget i Bergen blev iår, som Du ved, intet af. Derimod erholdt jeg en af de sidste dage i Kristiania et gammelt brev fra herr Buschs tyske inkassator, hvilket længe havde henligget på postkontoret i Dresden (det var nemlig sendt i byposten dernede og adresseret til min derværende bolig.) Heri lå en afskrift af din erklæring og jeg truedes med uopholdelig retslig forfølgning, hvis jeg ikke uopholdelig betalte. Nu tilskrev jeg straks bemeldte inkassator og lod ham vide, at hvad herr Busch lovligen havde at fordre kunde han hæve hos herr Peter Blytt i Bergen, til hvem den fornødne remisse skulde foranstaltes. Hermed afrejste jeg, og på gennemrejsen gav jeg i København den ordre, ifølge hvilken pengene blev Dig tilstillede. Jeg drog ikke i tvivl at herr Busch gennem sin inkassator vilde blive underrettet om hvor han kunde få sine penge. Dette må han imidlertid ikke have gjort, og derfor står jeg altså for dig som den, der har afgjort en gammel vens hjelp og tjenester på en så udelikat måde, som ved en taus fremsendelse af et pengebeløb uden et eneste ledsagende ord.Kære fortræffelige ven! Således havde jeg ikke tænkt at gøre op med Dig. Det havde været min agt nu i disse dage at skrive Dig til om sagen og da tillige få vide, hvor stort dit eget udlæg har været. Hvad gør vi nu? Hvis herr Busch melder sig, beder jeg Dig meddele ham det væsentlige af denne skrivelse og tilbyde ham de 36 Spdl 6 Sk: mod at han udsteder en kvittering for at vort mellemværende dermed er afgjort, samt sætter sin inkassator i kundskab herom. Thi det vilde naturligvis være mig højst ubehageligt her at få med rettens folk at gøre. Melder han sig ikke, så beder jeg Dig beholde pengene som afdrag på dit udlæg, hvis størrelse er mig ubekendt. Overhovedet beder jeg Dig, som god ven og forretningsmand, at ordne sagen på bedste måde for mig!Og lad mig så af hjertet takke Dig for dit brev! Ud af hver linje lyser den noble tænkemåde, som allerede ved vort første bekendtskab drog mig til Dig. Du minder mig om sangerfesten i Bergen. Tro ikke, at jeg har glemt vor lange natlige samtale i Logehaven! Du var den første, til hvem jeg udtalte de ideer, som siden på forskellig måde er kommen frem i min digtning. – Til næste år er det min bestemte hensigt at komme til Bergen. Er det nødvendigt at jeg, indtil videre, kommer til fremdeles at stå i pekuniær gæld til Dig, så ved jeg visst at det ikke vil have nogen indflydelse på den stemning, hvormed Du tænker på","[('MISC', 'Fru Inger til Østråt'), ('ORG', 'Gyldendalske boghandel'), ('PER', 'Chr: Busch'), ('PER', 'Busch'), ('PER', 'Buschs'), ('PER', 'Buschs'), ('PER', 'B'), ('LOC', 'Norge'), ('LOC', 'Bergen'), ('LOC', 'Bergen'), ('LOC', 'Kristiania'), ('PER', 'Buschs'), ('MISC', 'tyske'), ('LOC', 'Dresden'), ('PER', 'Busch'), ('PER', 'Peter Blytt'), ('LOC', 'Bergen'), ('LOC', 'København'), ('PER', 'Busch'), ('PER', 'Busch'), ('LOC', 'Bergen'), ('LOC', 'Logehaven'), ('LOC', 'Bergene')]","[('MISC', 'Fru Inger til Østråt'), ('MISC', 'Gyldendalske'), ('PER', 'Chr: Busch'), ('PER', 'Busch'), ('PER', 'herr Buschs'), ('PER', 'herr Buschs'), ('PER', 'herr B'), ('LOC', 'Norge'), ('LOC', 'Bergen'), ('LOC', 'Bergen'), ('LOC', 'Kristiania'), ('PER', 'herr Buschs'), ('MISC', 'tyske'), ('LOC', 'Dresden'), ('PER', 'herr Busch'), ('PER', 'Peter Blytt'), ('LOC', 'Bergen'), ('LOC', 'København'), ('PER', 'herr Busch'), ('PER', 'herr Busch'), ('MISC', 'Spdl 6 Sk'), ('LOC', 'Bergen'), ('LOC', 'Logehaven'), ('LOC', 'Bergen')]"
